[2024-12-05T20:40:37.081+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:40:37.093+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-01-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.099+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-01-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.100+0000] {taskinstance.py:2866} INFO - Starting attempt 3 of 3
[2024-12-05T20:40:37.111+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-01-02 06:00:00+00:00
[2024-12-05T20:40:37.117+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=807) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T20:40:37.118+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'scheduled__2021-01-02T06:00:00+00:00', '--job-id', '39', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmp0x3xtftx']
[2024-12-05T20:40:37.119+0000] {standard_task_runner.py:72} INFO - Started process 821 to run task
[2024-12-05T20:40:37.119+0000] {standard_task_runner.py:105} INFO - Job 39: Subtask wget
[2024-12-05T20:40:37.150+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget scheduled__2021-01-02T06:00:00+00:00 [running]> on host cf87bc668ac5
[2024-12-05T20:40:37.738+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... .......... 21% 61.6M 2s
[2024-12-05T20:40:37.740+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... .......... 21% 17.8M 2s
[2024-12-05T20:40:37.741+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... .......... 21% 25.9M 2s
[2024-12-05T20:40:37.753+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... .......... 21% 4.34M 2s
[2024-12-05T20:40:37.757+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... .......... 21% 59.5M 2s
[2024-12-05T20:40:37.759+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... .......... 22% 51.0M 2s
[2024-12-05T20:40:37.761+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... .......... 22% 83.8M 2s
[2024-12-05T20:40:37.762+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... .......... 22%  127M 2s
[2024-12-05T20:40:37.781+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... .......... 22% 13.6M 2s
[2024-12-05T20:40:37.783+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... .......... 23% 2.05M 2s
[2024-12-05T20:40:37.790+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... .......... 23% 6.61M 2s
[2024-12-05T20:40:37.792+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... .......... 23%  139M 2s
[2024-12-05T20:40:37.793+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... .......... 23% 59.3M 2s
[2024-12-05T20:40:37.794+0000] {subprocess.py:106} INFO -   5050K .......... .......... .......... .......... .......... 24%  162M 2s
[2024-12-05T20:40:37.808+0000] {subprocess.py:106} INFO -   5100K .......... .......... .......... .......... .......... 24% 2.92M 2s
[2024-12-05T20:40:37.829+0000] {subprocess.py:106} INFO -   5150K .......... .......... .......... .......... .......... 24% 2.40M 2s
[2024-12-05T20:40:37.836+0000] {subprocess.py:106} INFO -   5200K .......... .......... .......... .......... .......... 24% 15.5M 2s
[2024-12-05T20:40:37.839+0000] {subprocess.py:106} INFO -   5250K .......... .......... .......... .......... .......... 25% 6.93M 2s
