[2024-12-05T20:39:30.986+0000] {subprocess.py:106} INFO -   8400K .......... .......... .......... .......... .......... 39%  260M 2s
[2024-12-05T20:39:30.986+0000] {subprocess.py:106} INFO -   8450K .......... .......... .......... .......... .......... 40% 44.7M 2s
[2024-12-05T20:39:30.987+0000] {subprocess.py:106} INFO -   8500K .......... .......... .......... .......... .......... 40%  209M 2s
[2024-12-05T20:39:30.987+0000] {subprocess.py:106} INFO -   8550K .......... .......... .......... .......... .......... 40%  173M 2s
[2024-12-05T20:39:30.987+0000] {subprocess.py:106} INFO -   8600K .......... .......... .......... .......... .......... 40% 22.1M 2s
[2024-12-05T20:39:30.988+0000] {subprocess.py:106} INFO -   8650K .......... .......... .......... .......... .......... 41%  232M 2s
[2024-12-05T20:39:30.989+0000] {subprocess.py:106} INFO -   8700K .......... .......... .......... .......... .......... 41%  154M 2s
[2024-12-05T20:39:30.989+0000] {subprocess.py:106} INFO -   8750K .......... .......... .......... .......... .......... 41% 52.9M 2s
[2024-12-05T20:39:30.989+0000] {subprocess.py:106} INFO -   8800K .......... .......... .......... .......... .......... 41%  175M 2s
[2024-12-05T20:39:30.990+0000] {subprocess.py:106} INFO -   8850K .......... .......... .......... .......... .......... 42%  234M 2s
[2024-12-05T20:39:30.990+0000] {subprocess.py:106} INFO -   8900K .......... .......... .......... .......... .......... 42%  286M 2s
[2024-12-05T20:39:30.990+0000] {subprocess.py:106} INFO -   8950K .......... .......... .......... .......... .......... 42% 56.4M 2s
[2024-12-05T20:39:30.990+0000] {subprocess.py:106} INFO -   9000K .......... .......... .......... .......... .......... 42%  230M 2s
[2024-12-05T20:39:30.991+0000] {subprocess.py:106} INFO -   9050K .......... .......... .......... .......... .......... 42%  168M 2s
[2024-12-05T20:39:30.991+0000] {subprocess.py:106} INFO -   9100K .......... .......... .......... .......... .......... 43%  139M 2s
[2024-12-05T20:39:30.991+0000] {subprocess.py:106} INFO -   9150K .......... .......... .......... .......... .......... 43%  141M 2s
[2024-12-05T20:39:30.992+0000] {subprocess.py:106} INFO -   9200K .......... .......... .......... .......... .......... 43%  214M 2s
[2024-12-05T20:39:30.992+0000] {subprocess.py:106} INFO -   9250K .......... .......... .......... .......... .......... 43%  225M 2s
[2024-12-05T20:39:30.993+0000] {subprocess.py:106} INFO -   9300K .......... .......... .......... .......... .......... 44%  138M 2s
[2024-12-05T20:39:30.993+0000] {subprocess.py:106} INFO -   9350K .......... .......... .......... .......... .......... 44%  212M 2s
[2024-12-05T20:39:30.993+0000] {subprocess.py:106} INFO -   9400K .......... .......... .......... .......... .......... 44%  229M 2s
[2024-12-05T20:39:30.993+0000] {subprocess.py:106} INFO -   9450K .......... .......... .......... .......... .......... 44%  266M 2s
[2024-12-05T20:39:30.994+0000] {subprocess.py:106} INFO -   9500K .......... .......... .......... .......... .......... 45% 80.5M 2s
[2024-12-05T20:39:30.994+0000] {subprocess.py:106} INFO -   9550K .......... .......... .......... .......... .......... 45%  223M 2s
