[2024-12-05T19:54:08.167+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T19:54:08.176+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget manual__2024-12-05T19:54:05.651228+00:00 [queued]>
[2024-12-05T19:54:08.181+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget manual__2024-12-05T19:54:05.651228+00:00 [queued]>
[2024-12-05T19:54:08.181+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-05T19:54:08.189+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2024-12-05 19:54:05.651228+00:00
[2024-12-05T19:54:08.192+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=69) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T19:54:08.193+0000] {standard_task_runner.py:72} INFO - Started process 70 to run task
[2024-12-05T19:54:08.195+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'manual__2024-12-05T19:54:05.651228+00:00', '--job-id', '3', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmppidfg0ej']
[2024-12-05T19:54:08.196+0000] {standard_task_runner.py:105} INFO - Job 3: Subtask wget
[2024-12-05T19:54:08.221+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget manual__2024-12-05T19:54:05.651228+00:00 [running]> on host cf87bc668ac5
[2024-12-05T19:54:08.718+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... .......... 21%  136M 1s
[2024-12-05T19:54:08.718+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... .......... 21%  198M 1s
[2024-12-05T19:54:08.718+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... .......... 21%  210M 1s
[2024-12-05T19:54:08.718+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... .......... 21%  212M 1s
[2024-12-05T19:54:08.718+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... .......... 21%  329M 1s
[2024-12-05T19:54:08.718+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... .......... 22%  219M 1s
[2024-12-05T19:54:08.718+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... .......... 22%  262M 1s
[2024-12-05T19:54:08.718+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... .......... 22%  213M 1s
[2024-12-05T19:54:08.718+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... .......... 22%  152M 1s
[2024-12-05T19:54:08.719+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... .......... 23%  248M 1s
[2024-12-05T19:54:08.719+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... .......... 23%  270M 1s
[2024-12-05T19:54:08.719+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... .......... 23%  292M 1s
[2024-12-05T19:54:08.719+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... .......... 23%  274M 1s
